26.39,255
26.31,255
26.16,255
26.18,255
26.08,255
26.07,255
26.11,255
26.13,255
26.17,255
26.13,0
26.75,0
28.07,0
28.96,0
29.53,0
29.91,0
30.19,0
30.36,0
30.46,0
30.56,0
30.59,255
28.92,255
26.85,255
26.30,255
26.15,255
26.11,255
26.08,255
26.03,255
26.00,255
25.99,255
25.99,0
26.57,0
27.93,0
28.89,0
29.50,0
29.90,0
30.19,0
30.43,0
30.54,0
30.62,0
30.71,255
28.97,255
26.93,255
26.40,255
26.33,255
26.29,255
26.23,255
26.20,255
26.20,255
26.20,255
26.20,0
26.80,0
28.14,0
29.06,0
29.64,0
30.03,0
30.28,0
30.47,0
30.60,0
30.76,0
30.88,255
29.22,255
27.17,255
26.66,255
26.53,255
26.50,255
26.50,255
26.48,255
26.47,255
26.53,255
26.57,0
27.12,0
28.43,0
29.36,0
29.94,0
30.30,0
30.59,0
30.76,0
30.92,0
31.03,0
31.10,255
29.43,255
27.40,255
26.88,255
26.76,255
26.74,255
26.71,255
26.64,255
26.60,255
26.60,255
26.63,0
27.19,0
28.49,0
29.38,0
29.95,0
30.33,0
30.62,0
30.81,0
30.95,0
31.04,0
31.14,255
29.61,255
27.69,255
27.22,255
27.13,255
27.08,255
27.02,255
27.02,255
27.01,255
27.00,255
27.05,0
27.68,0
28.92,0
29.79,0
30.33,0
30.56,0
30.80,0
30.97,0
31.12,0
31.20,0
